id,genres
1633,Drama Comedy
1554,Crime Drama Comedy
149,Science Fiction Animation
8009,Adventure Action Fantasy
339,Comedy Drama
2640,Thriller Comedy Drama
89,Adventure Action
783,Drama History
625,War Drama History
8816,Drama Comedy
2323,Drama Fantasy
655,Drama
639,Comedy Romance Drama
96288,Documentary
814,Horror Comedy
32076,Crime Drama Horror Mystery Thriller
6114,Romance Horror
1598,Crime Thriller
6217,Drama Fantasy Horror Thriller
377,Horror
8744,Crime Drama Thriller
145,Drama Romance
2212,Action Drama Horror Mystery Thriller
199,Science Fiction Action Adventure Thriller
64900,Drama Mystery
1573,Action Thriller
174,Science Fiction Action Adventure Thriller
172,Science Fiction Action Adventure Thriller
154,Action Adventure Science Fiction Thriller
157,Science Fiction Action Adventure Thriller
168,Science Fiction Adventure
364,Action Fantasy
55687,Action Science Fiction Thriller
8845,Action Thriller
75,Comedy Fantasy Science Fiction
378,Comedy Crime
2322,Comedy Crime Drama
26949,Drama Romance
3179,Animation Comedy
4232,Crime Horror Mystery
2928,Comedy Drama Fantasy
8818,History Drama Music
34314,Action Thriller Crime
2892,Drama
8860,Action Adventure Comedy Crime Thriller
31000,Action Comedy
4104,Comedy Drama Romance
26306,Drama Romance
784,Music Drama Comedy
1968,Drama Comedy Romance
66,Crime Drama Thriller
25796,Comedy Drama Romance
638,Drama Thriller Mystery
27322,Comedy Drama Romance
884,Drama Thriller Romance
1624,Comedy
88423,Drama Foreign
4477,Crime Thriller Drama
6499,Action Adventure Family Fantasy Science Fiction Thriller
93946,Drama
77223,War Drama History
105763,Drama Comedy Romance Foreign
816,Science Fiction Comedy Crime
2163,Drama Action Thriller
124843,Drama
18,Adventure Fantasy Action Thriller Science Fiction
1811,Science Fiction Drama Comedy
2058,Comedy Romance
330,Adventure Action Science Fiction
33660,Drama Family
1701,Action Thriller Crime
26422,Drama Foreign Romance
1639,Action Adventure Thriller
107743,Comedy Romance
415,Action Crime Fantasy
8874,Comedy Romance
754,Action Crime Science Fiction Thriller
607,Action Adventure Comedy Science Fiction
4421,Action Drama
2142,Action Crime Drama
8834,Action Drama Mystery Thriller
8854,Science Fiction Action Adventure
4961,Fantasy Horror Thriller
26180,Action Comedy Romance
6072,Drama Thriller
1669,Action Adventure Thriller
468,Drama Romance
108401,Comedy Drama
6623,Action Thriller
2118,Crime Drama Mystery Thriller
56651,Comedy Crime Drama Romance
2649,Drama Thriller Mystery
2255,Comedy Drama Romance
172545,Comedy Drama
3597,Horror Thriller Mystery
782,Thriller Science Fiction Mystery Romance
1959,Drama Romance
1281,Comedy
4995,Drama
45928,Crime Thriller
563,Adventure Action Thriller Science Fiction
31535,Comedy
4824,Action Thriller Adventure Crime
2895,Drama
2639,Comedy Drama
489,Drama
167738,
8197,Crime Drama Mystery Thriller
6283,Comedy Family
4233,Horror Mystery
597,Drama Romance Thriller
714,Adventure Action Thriller
62394,Drama
547,Drama Romance
25994,Drama
184,Comedy Crime Romance
115,Comedy Crime
26941,Drama Romance Comedy
27103,Drama Comedy
32302,Action Comedy Family
586,Comedy Drama
2666,Mystery Science Fiction
6116,Adventure Fantasy Drama Comedy Music
2923,Romance Crime Drama
30949,Mystery Thriller Drama Romance Crime
2898,Comedy Romance
26269,Drama Crime Mystery Thriller
6970,Music Comedy Fantasy Adventure
47452,Drama Romance Foreign
617,Thriller
5910,Crime Drama
32456,Drama Romance
1774,Documentary
2157,Adventure Family Science Fiction
8838,Action Crime Drama Thriller
795,Drama Fantasy Romance
27472,Adventure Comedy
98499,
267,Drama Romance Thriller
73135,Thriller
6264,Adventure Fantasy
4415,Crime Drama History Romance
8656,Action Drama Romance
929,Science Fiction Action Thriller
1878,Adventure Drama Comedy
26610,Crime Drama Thriller
1965,Crime Thriller Drama
312,Drama
6068,Action Adventure Comedy Romance
846,Mystery Science Fiction Thriller
3050,Comedy Family Fantasy
1389,Romance Comedy Crime
95,Action Thriller Science Fiction Adventure
944,Action Adventure Comedy Crime Thriller
473,Mystery Drama Thriller
544,Romance Comedy
606,Drama
746,Drama History
380,Drama
403,Comedy Drama
2108,Comedy Drama
41828,Thriller Comedy Horror
41769,Horror
609,Horror
941,Adventure Action Comedy Thriller Crime
942,Action Adventure Comedy Crime Thriller
943,Adventure Action Comedy Thriller Crime
927,Fantasy Horror Comedy
928,Comedy Horror Fantasy
165,Adventure Comedy Family Science Fiction
196,Adventure Comedy Family Science Fiction
859,Drama Romance
841,Action Science Fiction Adventure
242,Crime Drama Thriller
1411,Mystery Drama
857,Drama History War
1779,Documentary History
5961,Fantasy Drama Mystery
2887,Drama
793,Crime Drama Mystery Thriller
2619,Comedy Fantasy Romance
27332,Drama
97,Science Fiction Action Adventure
2107,Comedy Drama Fantasy Romance
227,Crime Drama
87,Adventure Action
2907,Horror Comedy Fantasy
8688,Crime Mystery
4978,Drama Family Animation Adventure
33644,Comedy Drama Romance
4011,Fantasy Comedy
3682,Music Drama
46748,Drama Thriller
847,Adventure Drama Action
117,Crime Drama History Thriller
59138,Documentary
431,Thriller Science Fiction Mystery
84116,Drama
3525,Comedy Drama Romance
2321,Comedy Crime Romance
2028,Comedy Drama Romance
5971,Comedy Crime Drama
881,Drama
4478,Drama
2109,Action Comedy Crime Thriller
8195,Action Thriller Crime Adventure
1091,Horror Mystery Science Fiction
162,Fantasy Drama Romance
8916,Adventure Animation Comedy Family
4975,TV Movie Drama
134368,
1039,Drama Foreign
4437,Thriller Science Fiction
1890,Drama Romance
6435,Drama Fantasy Comedy
108316,Comedy
2657,Fantasy Drama Comedy
637,Comedy Drama
8675,Comedy
73,Drama
3033,Drama
4518,Drama History
3600,Horror Mystery Thriller
297,Fantasy Drama Mystery
5332,Drama
8336,Comedy Thriller
666,Drama
2042,History Drama War
309,Drama
8130,Comedy
707,Adventure Action Thriller
8545,Comedy Drama
200,Science Fiction Action Adventure Thriller
1934,Romance History
110643,Drama
8879,Romance Western
1369,Action Adventure Thriller War
1368,Action Adventure Thriller War
1370,Action Adventure Thriller War
1371,Drama
1374,Drama
1375,Drama
1885,Drama
8856,Adventure Drama Action Romance Family
5825,Comedy
8741,Drama History War
1363,Drama Action Western Romance
825,Drama
6917,Horror Fantasy
2620,Action Comedy Crime
192,Drama Thriller Mystery
8388,Comedy Western
6187,Drama
8129,Drama Romance
2112,Drama Action Thriller Crime
1542,Comedy Crime
8224,Thriller Crime Mystery
26425,Comedy Romance
8913,Drama Horror
25748,Horror
25749,Thriller Horror
8769,Horror
113286,Documentary
796,Drama Romance Thriller
100,Comedy Crime
47501,Comedy
7341,Horror Thriller Science Fiction
1567,Drama Thriller
1641,Romance Comedy
8583,Drama Romance
603,Action Science Fiction
4951,Comedy Romance Drama
8970,Comedy
70687,Science Fiction Drama
27455,Comedy Drama
1414,Drama Mystery Romance
6522,Comedy Crime
114719,Comedy Romance Drama
143299,
1902,Drama Thriller
6396,Crime Romance Comedy Drama Music
1946,Action Thriller Science Fiction Horror
1844,Romance Drama Mystery
6552,Thriller Comedy Horror
4154,Drama Foreign
8592,Adventure Action Comedy Thriller Crime
564,Adventure Action Fantasy
140519,
4927,Comedy Drama Romance
1893,Adventure Action Science Fiction
31342,Comedy Drama Romance
509,Romance Comedy Drama
1090,Thriller Science Fiction Mystery
2275,Crime Drama Mystery Thriller
104,Action Drama Thriller
55955,Drama Comedy Foreign
6488,Comedy Horror
8487,Action Adventure Comedy Science Fiction Western
125263,Drama
2767,Drama Romance
2105,Comedy Romance
1073,Drama Thriller Mystery
2667,Horror Mystery
345,Mystery Drama
133575,Drama Romance
620,Comedy Fantasy
2978,Comedy Fantasy
332,Action Adventure Comedy Family
1812,Comedy Romance
8914,Action Science Fiction Thriller
4806,Comedy Romance
32060,Comedy Drama Romance
873,Drama
48660,Horror Science Fiction
3934,Crime Drama Comedy
30890,Comedy Drama
2115,Music Drama
3526,Drama
745,Mystery Thriller Drama
913,Drama Crime Romance
2665,Comedy
2280,Fantasy Drama Comedy Romance Family
850,Comedy Family
126152,Horror Science Fiction
2038,Action Thriller
1911,Adventure Fantasy Action
2900,Drama Science Fiction Thriller
6373,Comedy Romance
2162,Action Comedy Thriller
4338,Comedy
1075,Comedy Romance
14,Drama
1049,Drama Thriller Mystery Romance
2290,Comedy Drama History
6415,Action Adventure Comedy
5622,Comedy Drama Foreign Music
226,Crime Drama
861,Action Adventure Science Fiction
535,Drama Music Romance
2731,Drama Romance
772,Comedy Family Adventure Crime
550,Drama
1610,Comedy Romance
404,Drama
8649,Drama
5548,Action Thriller Science Fiction
5549,Action Adventure Crime Science Fiction Thriller
856,Fantasy Animation Comedy Crime Family
699,Adventure Action Thriller
709,Adventure Action Thriller
492,Fantasy Drama Comedy
128,Adventure Fantasy Animation
8672,Documentary
8056,Drama Comedy War
2020,Comedy
9008,Drama Thriller
104103,Drama Comedy
1694,Science Fiction Comedy Horror
476,Crime Drama
957,Comedy Science Fiction
1621,Comedy
1832,Fantasy Comedy Adventure
124853,Drama Action
4203,Comedy Drama
2039,Comedy Drama Romance
2668,Drama Fantasy Thriller Mystery
99,Comedy Drama
26371,Drama Romance
293,Drama
9013,Adventure Comedy Crime
2924,Action Crime Drama Mystery Thriller
177,Comedy Drama
497,Fantasy Drama Crime
1715,Drama
1439,Drama History Romance
2277,Comedy Science Fiction
334,Drama
26578,Thriller Drama Crime
1850,Comedy Drama Romance
926,Comedy Family Science Fiction
1213,Thriller Crime Drama
3558,Drama
2990,Crime Thriller
1883,Drama History
2005,Music Comedy
6279,Music Comedy
7305,Action Adventure Drama Thriller
8872,Music Comedy
8873,Music Comedy
619,Thriller Action Drama Music Romance
8293,Drama Romance
1923,Drama Mystery
4234,Horror Mystery
8374,Action Thriller Crime
1907,Drama Adventure Romance Thriller
2787,Thriller Science Fiction Action
2069,Comedy Crime
79515,Documentary
2155,Thriller
139,Romance Comedy Drama
1831,Comedy
4816,Crime Drama
2193,Comedy Drama Romance
2067,Science Fiction
5693,Drama Family
287,Comedy Romance
820,Drama Thriller History
8989,Comedy Family Fantasy
32031,Action Adventure
26827,Comedy
918,Comedy Romance
462,Drama
2383,Adventure Drama Family
1541,Drama Thriller Crime Adventure
925,Drama
1713,Drama Romance
26263,Thriller Action Adventure Crime
1496,Drama Action Comedy Music Romance
1498,Science Fiction Action Adventure Comedy Family
1497,Science Fiction Adventure Action Comedy Family
1499,Action Adventure Comedy Family Fantasy Science Fiction
1880,Action Thriller
33762,Action Crime Drama
801,Comedy Drama War
104301,Drama Romance
2085,Action Crime Thriller
109479,Drama Thriller Romance
49338,Comedy
2102,Adventure Drama Action Thriller Science Fiction Foreign
26689,Science Fiction Thriller
2291,Drama Mystery Horror
526,Adventure Drama Fantasy Romance
243,Comedy Drama Romance Music
879,Adventure Fantasy Comedy Family
1793,Comedy Drama Family
2621,Romance Comedy Drama
1552,Comedy Drama Family
106,Science Fiction Action Adventure Thriller
61560,Drama Comedy
123757,Comedy
1359,Thriller Drama Crime
4967,Comedy
26291,Action Comedy
27857,Drama
3536,Action Drama Thriller War
1443,Drama Romance
889,Science Fiction Comedy Family Romance
125537,Comedy Romance
452,Drama Comedy
5241,Drama Romance
98,Action Drama Adventure
1058,Action Drama Romance Thriller
5491,Action Science Fiction War
5683,Adventure Comedy
955,Adventure Action Thriller
8584,Adventure Action Comedy Western
31353,Romance Drama
42002,Crime Horror Thriller
26954,Horror
26958,Horror
2075,Romance Comedy Crime Drama
1551,Drama Horror Science Fiction Thriller
26554,Horror Comedy Science Fiction
169,Science Fiction Action Thriller
865,Action Science Fiction
26889,Comedy Drama Science Fiction
8810,Adventure Action Thriller Science Fiction
1727,Action Adventure Comedy Romance
635,Horror Mystery Thriller
31610,Action Comedy Mystery Thriller
6978,Action Adventure Comedy Fantasy
479,Action Adventure Crime Thriller
7450,Animation Action Science Fiction Family Adventure
7443,Animation Comedy Family
2123,Comedy
2024,Drama History War Action
2133,Drama
4244,Fantasy Comedy Family
4247,Comedy
1050,Comedy Drama Foreign
1788,Drama Family Music Romance
1448,Drama Fantasy Horror
2655,Drama Horror Mystery Thriller
6282,Comedy Drama Music Romance
5551,Action Adventure Thriller
2360,Crime Comedy
26515,Fantasy Horror
2211,Drama History Romance
8843,Horror Science Fiction Thriller
1588,Comedy
137236,
1698,Horror Thriller
80713,Drama Foreign
1619,Action Crime Drama Thriller
786,Drama Music
170767,Drama War
77332,Romance Drama
16,Drama Crime Music
34299,Comedy
9003,Horror
469,Comedy Drama
27475,Comedy Horror
27764,Horror Comedy
1597,Comedy Romance
641,Crime Drama
6521,Drama Thriller
71,Drama Comedy Music
1636,Fantasy Comedy Romance
4327,Action Adventure Comedy Crime Thriller
4958,Fantasy Drama
8870,Thriller Action Science Fiction
8452,Science Fiction
8871,Family Comedy Fantasy
34045,Documentary
79920,
146,Adventure Drama Action Romance
2669,Action Drama History
2609,Comedy
708,Action Adventure Thriller
1857,Animation
2604,Drama War
107,Thriller Crime
392,Comedy Drama Romance
8859,Comedy
3981,Comedy Romance
711,Drama
2046,Horror Drama Thriller Mystery
5001,Drama
5994,Comedy Drama Romance Fantasy
1493,Comedy Crime Action
134,Action Adventure Comedy
1900,Thriller Drama Crime
26719,Crime Drama Mystery Thriller
2623,Drama Romance
5955,Crime Drama Mystery Thriller
2613,Drama Comedy Romance
26333,Comedy Drama Romance
2018,Comedy
37949,Adventure Animation Family
5709,Comedy Science Fiction
4639,Action Crime Drama Thriller
96,Action Comedy Crime
90,Action Comedy Crime
30994,Music Drama
764,Horror
26964,Drama
4918,Action Drama Thriller
58084,Drama Fantasy
26156,Action Adventure Comedy Drama Family Thriller
2614,Action Comedy Science Fiction
40962,Drama
580,Adventure Thriller
1547,Horror Comedy
2608,Comedy Fantasy
32058,Comedy Romance
843,Drama Romance
318,Drama Thriller
7093,History Drama Romance
1921,Drama Romance
6073,Action Comedy Crime Romance
2749,Action Crime Thriller
49929,
2302,Drama
32686,Comedy Drama
2453,Action Thriller
4587,Comedy Drama Romance
31004,Action Comedy Mystery Thriller
39934,Drama
26580,Documentary
853,War
5257,History Comedy Drama
77,Mystery Thriller
2575,Drama Thriller
55,Drama Thriller
2043,Crime Mystery Thriller Action
4133,Crime Drama
56715,Comedy Fantasy Science Fiction
26791,Crime Drama Mystery Thriller
634,Comedy Romance Drama
136558,Comedy
109472,Drama Thriller Romance
70282,Drama
111,Action Crime Drama Thriller
2144,Action Comedy Crime
1734,Adventure Action Fantasy
4973,Drama Mystery
849,Fantasy Action Adventure
27223,Comedy
3784,Drama Comedy Romance
5852,Drama Romance Thriller
808,Adventure Animation Comedy Family Fantasy
824,Drama Music Romance
676,History Romance War
26813,Adventure Drama
26255,Comedy Romance
1406,Action Adventure Comedy Drama Western
1632,Thriller Crime Drama
6498,Horror Thriller
26475,Comedy Drama
1089,Action Thriller Crime
1995,Adventure Fantasy Action Thriller
644,Drama Science Fiction Adventure
2140,Action Crime Thriller
4248,Comedy
3134,Crime Drama Romance Thriller
6106,Drama
2114,Adventure Action Animation Fantasy Science Fiction Thriller
8835,Comedy
58904,Animation Horror Thriller
103489,
5333,Thriller Horror Drama
4281,Thriller Crime Mystery Drama
26044,Comedy Romance
3980,Action Comedy Horror Science Fiction Thriller
27397,Comedy Drama Romance
27362,Comedy Drama
5680,Fantasy Horror Comedy Science Fiction
26386,Comedy Family
25884,Action Comedy Family
2617,Comedy
26723,Documentary Music
3543,Comedy Drama
51321,Drama
58434,Drama Family
2605,Comedy Family Science Fiction
8740,Horror Thriller
8337,Action Horror Science Fiction Thriller
47493,Drama Thriller History
8463,Comedy Drama Romance
41974,Drama Mystery
26603,Comedy Fantasy
32049,Action Thriller
1648,Adventure Comedy Science Fiction
4105,Action Thriller Crime
3064,Fantasy Comedy Science Fiction Romance
4925,Action Adventure Drama Thriller
2210,Music Comedy Drama Romance Science Fiction
116014,Comedy Drama Romance
27461,War Drama History
1380,Drama
505,Crime Drama
4486,Drama
4296,Mystery Drama Science Fiction Thriller
31606,Action Adventure Crime Drama Thriller
8867,Action Thriller
331,Adventure Action Thriller Science Fiction
327,Crime Drama Thriller
1548,Comedy Drama
869,Thriller Science Fiction Action Adventure
552,Drama Comedy Romance
2171,Comedy
32261,Drama History Romance
31083,Comedy Drama Romance
6951,Action Comedy Thriller Crime Family
2616,Comedy Drama Family
7091,Comedy Horror
249,Comedy Drama Thriller
183,Adventure Comedy Drama Family Romance
8494,Comedy
2148,Music Drama Crime Romance
2057,Thriller
5175,Action Comedy Crime Thriller
2770,Comedy Romance
1933,Horror Drama Mystery Thriller
1722,Drama History Romance
2779,Comedy Crime Mystery Romance Thriller
2294,Comedy
26602,Drama Comedy Romance
742,Drama Comedy Romance
8922,Horror Thriller
106230,Comedy Drama
2176,Drama Thriller
75386,Comedy
2185,Action Comedy Thriller
2034,Action Crime Drama Thriller
32567,Documentary History
1644,Thriller Drama Mystery
3172,Action Comedy Crime Romance
570,Drama
1018,Thriller Drama Mystery
768,Horror Mystery Thriller
2100,Action Drama Thriller
3173,Thriller Action Crime Drama
27092,Crime
167,Drama Science Fiction
27444,Romance Drama Comedy
141,Fantasy Drama Mystery
151727,
585,Animation Comedy Family
140511,Drama Thriller
133115,Drama Comedy Romance
671,Adventure Fantasy Family
1535,Action Crime Thriller
1433,Fantasy Drama Horror Thriller Science Fiction
1999,Drama Thriller
8007,Action Drama Thriller War
161,Thriller Crime
194,Comedy Romance
1903,Drama Mystery Romance Science Fiction Thriller
1649,Adventure Comedy Family Fantasy Science Fiction
26978,Adventure Science Fiction
120,Adventure Fantasy Action
453,Drama Romance
855,Action History War
5279,Drama Mystery Thriller
1365,Drama Romance
6440,Drama Romance
6312,Adventure Horror Action History
26337,Mystery Thriller
77985,Drama Romance
27273,Animation Fantasy Family
848,Fantasy
4965,Action Science Fiction Thriller
150,Thriller Action Comedy Crime Drama
112,Comedy Drama Romance
2637,Drama Horror Mystery
2084,Comedy Crime Thriller
47871,Action Comedy
69928,Comedy
2441,Drama
27824,Comedy
480,Comedy Drama Romance
2752,Comedy Romance
40723,Drama Horror
2135,Science Fiction Adventure Action
43997,Comedy Foreign Romance
26843,Action History War
425,Animation Comedy Family Adventure
5851,Action Comedy
1391,Drama Romance
6020,Comedy
112942,
4547,Crime Drama Thriller
1791,Drama Romance
62956,Comedy
5678,Action Comedy
26851,Documentary History
1537,Action Adventure Crime Thriller
441,Drama Comedy
2565,Fantasy Comedy Science Fiction Romance
6393,Comedy
1282,Documentary
52717,Drama
69324,Drama Foreign Romance
73462,Drama Adventure Romance
5203,Drama Romance
2251,Thriller Drama
2894,War Drama History
245,Drama Comedy Romance
1894,Adventure Action Science Fiction
4012,Drama
1957,Drama Thriller
320,Crime Mystery Thriller
27834,Comedy Drama Science Fiction
4614,Thriller Action Drama
3132,Action Adventure Comedy Thriller
2501,Action Drama Mystery Thriller
27451,Drama
103299,Drama Action Thriller Crime Mystery
180,Action Thriller Science Fiction Mystery
2022,Comedy Romance
88818,Drama Comedy Crime Foreign
608,Action Adventure Comedy Science Fiction
59387,Animation Action Family
26290,Drama
6278,Adventure Action Fantasy
4147,Thriller Crime Drama
1364,Drama Romance
8869,Action Comedy Horror Thriller
8665,Drama History Thriller
818,Comedy Crime Science Fiction
33152,Action Comedy Crime
8764,Comedy
2675,Drama Thriller Science Fiction Mystery
7451,Action Adventure Thriller
2750,Comedy Drama
6173,Drama Thriller Crime Romance
3640,Romance Drama Comedy
8653,Drama Thriller
26056,Drama Thriller
96218,Comedy Romance
4108,Action Crime Thriller
50382,Horror
575,Drama Thriller
1958,Comedy Thriller Music Crime Mystery
129,Fantasy Adventure Animation Family
72308,Documentary
2110,Drama Action Comedy
4107,Action Adventure Drama History
1809,Comedy Drama Romance
1430,Documentary
40815,Drama Adventure
1613,Thriller Action Comedy Crime
565,Horror Mystery
49872,Comedy Family Fantasy
140413,Comedy Romance
8691,Adventure Horror
66592,Comedy Mystery Thriller
25773,Drama
26560,Comedy Romance
225,Drama History
26444,Action Drama
5062,Crime Drama Mystery Thriller
27016,Drama Thriller Music
265,War Drama Romance
2264,Romance Drama
47886,Horror Mystery
1672,Action Adventure Thriller
9012,Documentary Comedy
1360,Drama Romance
8427,Action Adventure Comedy Thriller
65,Drama
27204,Comedy Romance
152023,
672,Adventure Fantasy Family
542,Drama Romance
33251,Drama Family
2165,Thriller Action Drama
53000,Action Mystery Thriller
2528,Drama Foreign Romance
96966,Drama
26325,Adventure Action Comedy
69169,Thriller Drama Horror
31921,Drama Comedy Thriller Mystery Romance
32625,Drama
8198,Drama Action Thriller Romance
64,Drama Romance
2103,Drama Science Fiction Mystery Romance
9016,Adventure Animation Family Fantasy Science Fiction
27070,Comedy Horror
5261,Thriller Drama Comedy Action Romance
6007,Comedy Drama
125337,Thriller Romance
7011,Science Fiction Fantasy Horror Adventure
2757,Comedy Crime Drama
7299,Action Science Fiction Thriller
78022,Drama Action Romance Foreign
4241,Comedy Drama Horror Thriller
37335,Drama
40952,Horror Thriller
38849,Science Fiction Thriller
171,Comedy
4202,Drama History
7303,Comedy Drama Romance
201,Science Fiction Action Adventure Thriller
2755,Drama Comedy
99826,Comedy Drama
121,Adventure Fantasy Action
1429,Crime Drama
3131,Drama History Crime
2642,Comedy Romance
2149,Drama Thriller Romance
32074,Action Thriller
4032,Comedy Drama Family
8392,Fantasy Animation Family
4435,Drama History
640,Drama Crime
1574,Action Comedy Crime Drama Music
590,Drama
423,Drama War
262,Comedy Drama
4912,Comedy Crime Drama Romance Thriller
598,Drama Crime
26393,Comedy Drama Romance
1484,Drama
